record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,1372792,0,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 35 35 35 35 35 95 A6 99
2,1373093,301,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
3,1373393,601,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
4,1373694,902,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 35 35 35 35 35 95 A6 99
5,1373993,1201,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
6,1374254,1462,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A E0
7,1374269,1477,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A 80 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
8,1374295,1503,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
9,1374592,1800,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 59 35 99 99 35 35 35 35 35 95 A6 99
10,1374896,2104,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00
11,1374910,2118,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
12,1375197,2405,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
13,1375494,2702,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 35 35 35 35 35 95 A6 99
14,1375690,2898,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80 5C C7 33 35 5A 35 35 65 35 35 56
15,1375704,2912,500k_8E1,5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 C0 5C C7 33 35 5A 35 35 65 35 35 56
16,1375716,2924,500k_8E1,5C C7 33 56 95 35 59 AA AA AA AA AA 65 99 69 5C C7 33 35 5A 35 35 65 35 35 56
17,1375798,3006,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A
18,1375811,3019,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
19,1376101,3309,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
20,1376111,3319,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 80 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
21,1376401,3609,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 59 35 99 99 35 35 35 35 35 95 A6 99
22,1376700,3908,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
23,1377000,4208,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 59 35 35 35 35 35 A9 59 AA 9A
