record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,1197568,0,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
2,1197868,300,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
3,1198177,609,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
4,1198477,909,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
5,1198778,1210,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
6,1198934,1366,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A F0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FE 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FE 5C C7 33 35 5A 35 35 65 35 35 56
7,1199072,1504,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
8,1199363,1795,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80
9,1199381,1813,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80 5C C7 33 35 5A 35 35 65 35 35 56
10,1199393,1825,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56 5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 E0 5C C7 33 35 5A 35 35 65 35 35 56
11,1199411,1843,500k_8E1,5C C7 33 56 95 35 59 AA AA AA AA AA 65 99 69 00 5C C7 33 35 5A 35 35 65 35 35 56
12,1199677,2109,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
13,1199976,2408,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
14,1200278,2710,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 80 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
15,1200575,3007,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 80 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
16,1200880,3312,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
17,1201176,3608,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
18,1201194,3626,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
19,1201475,3907,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
20,1201783,4215,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
21,1202084,4516,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
22,1202384,4816,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
23,1202396,4828,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
24,1202685,5117,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
25,1202985,5417,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
26,1203286,5718,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
27,1203584,6016,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
28,1203885,6317,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
29,1203942,6374,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A C0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
30,1204182,6614,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
31,1204480,6912,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
32,1204781,7213,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
33,1205085,7517,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
34,1205390,7822,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
35,1205686,8118,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
36,1205991,8423,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00
37,1206011,8443,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
38,1206289,8721,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
39,1206590,9022,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
40,1206890,9322,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
41,1207189,9621,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
42,1207490,9922,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
43,1207790,10222,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
44,1208089,10521,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
45,1208389,10821,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
46,1208690,11122,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
47,1208949,11381,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A E0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FE 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF
48,1208965,11397,500k_8E1,5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
49,1208996,11428,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
50,1209297,11729,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
51,1209597,12029,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
52,1209892,12324,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
53,1210198,12630,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
